公司代码	公司简称	A股代码	A股简称	A股上市日期	B股代码	B股 简 称	B股上市日期	城 市
000559	万向钱潮	559	万向钱潮	1994-1-10	　	　	　	杭州市
000560	昆 百 大	560	昆百大Ａ	1994-2-2	　	　	　	昆明市
000561	陕 长 岭	561	*ST长岭	1994-5-9	　	　	　	宝鸡市
000562	宏源证券	562	宏源证券	1994-2-2	　	　	　	乌鲁木齐市
000563	陕 国 投	563	陕国投Ａ	1994-1-10	　	　	　	西安市
000564	西安民生	564	西安民生	1994-1-10	　	　	　	西安市
000565	渝 三 峡	565	渝三峡Ａ	1994-4-8	　	　	　	重庆市
000566	海南海药	566	海南海药	1994-5-25	　	　	　	海口市
000567	海德股份	567	海德股份	1994-5-25	　	　	　	海口市
000568	泸州老窖	568	泸州老窖	1994-5-9	　	　	　	泸州市
000570	苏 常 柴	570	苏常柴Ａ	1994-7-1	200570	苏常柴Ｂ	1996-9-13	常州市
000571	新大洲 A	571	新大洲Ａ	1994-5-25	　	　	　	海口市
000572	海马股份	572	海马股份	1994-8-8	　	　	　	海口市
000573	粤 宏 远	573	粤宏远Ａ	1994-8-15	　	　	　	东莞市
000576	广东甘化	576	*ST甘化	1994-9-7	　	　	　	江门市
000578	盐湖集团	578	盐湖集团	1995-3-3	　	　	　	海西蒙古族藏族自治州
000581	威孚高科	581	威孚高科	1998-9-24	200581	苏威孚Ｂ	1995-9-11	无锡市
000582	北 海 港	582	北 海 港	1995-11-2	　	　	　	北海市
000584	友利控股	584	友利控股	1995-11-28	　	　	　	成都市
000585	东北电气	585	*ST东电	1995-12-13	　	　	　	营口市
000586	汇源通信	586	*ST汇源	1995-12-20	　	　	　	成都市
000587	光明家具	587	S*ST光明	1996-4-25	　	　	　	伊春市
000589	黔 轮 胎	589	黔轮胎Ａ	1996-3-8	　	　	　	贵阳市
000590	紫光古汉	590	紫光古汉	1996-1-19	　	　	　	衡阳市
000591	桐 君 阁	591	桐 君 阁	1996-2-8	　	　	　	重庆市
000592	中福实业	592	中福实业	1996-3-27	　	　	　	福州市
000593	大通燃气	593	大通燃气	1996-3-12	　	　	　	成都市
000594	国恒铁路	594	国恒铁路	1996-3-20	　	　	　	天津市
000595	西北轴承	595	西北轴承	1996-4-19	　	　	　	银川市
000596	古井贡酒	596	古井贡酒	1996-9-27	200596	古井贡Ｂ	1996-6-12	亳州市
000597	东北制药	597	东北制药	1996-5-23	　	　	　	沈阳市
000598	蓝星清洗	598	蓝星清洗	1996-5-29	　	　	　	兰州市
000599	青岛双星	599	青岛双星	1996-4-30	　	　	　	青岛市
000600	建投能源	600	建投能源	1996-6-6	　	　	　	石家庄市
000601	韶能股份	601	韶能股份	1996-8-30	　	　	　	韶关市
000602	金马集团	602	金马集团	1996-8-19	　	　	　	潮州市
